class,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
class_0,0.619819411,0.617925773,0.086887916,0.665340598,1,0.999998674,2.01E-13
class_0,0.580499069,0.570593645,0,0.51648951,1,0.999997722,3.75E-13
class_0,0.638596637,0.643520889,0.101269022,0.684780012,1,0.999998136,9.46E-14
class_0,0.634780623,0.639766235,0.090787111,0.655900493,1,0.999997957,1.16E-13
class_0,0.412557844,0.35598736,0.959655667,0.881126076,1.78E-16,0.999999371,7.73E-15
class_0,0.419922366,0.371637398,0.969757663,0.85916835,6.04E-15,0.999999166,6.22E-15
class_0,0.399398666,0.330735279,0.903540392,0.906502998,1,0.999999442,8.44E-15
class_0,0.409465757,0.369802638,0.949823276,0.865781892,8.97E-15,0.999999233,5.33E-15
class_0,0.367509072,0.298535219,0.840776562,0.944009376,1,0.999999871,3.73E-15
class_0,0.459568943,0.308866654,0.82248434,0.941523374,1,0.999999811,1
class_0,0.451810025,0.303086295,0.796406172,0.928794957,1,0.999999862,1
class_0,0.455079163,0.304999492,0.837112226,0.945084291,1,0.999999701,1
class_0,0.427793338,0.284859581,0.751580525,0.901699979,1,0.999999844,1
class_0,0.434626783,0.288685273,0.839663396,0.936719519,1,0.999999481,1
class_0,0.710524738,0.715457876,0.366973804,0.812927305,1,0.999999381,6.25E-14
class_0,0.793152659,0.833802873,0.545490812,0.987883673,1.78E-16,1,1.07E-15
class_0,0.656308194,0.624988136,0.275286237,0.728335765,1,0.999998743,1.06E-13
class_0,0.62419098,0.564109603,0.306214242,0.780126116,1,0.999998766,6.24E-14
class_0,0.710524738,0.715457876,0.366973804,0.812927305,1,0.999999381,6.25E-14
class_0,0.793152659,0.833802873,0.545490812,0.987883673,1.78E-16,1,1.07E-15
class_0,0.380505282,0.259017285,0.80588305,0.574263226,1,0.999995175,8.88E-16
class_0,0.38464523,0.262842875,0.789193476,0.596428232,1,0.999995735,5.51E-15
class_0,0.364513877,0.245903966,0.801539271,0.544690798,1,0.999994574,1
class_0,0.357109532,0.286242809,0.47093758,0.688120112,1,0.999996641,1
class_0,0.343429326,0.223477548,0.877383295,0.622811017,1,0.999995688,1
